iter	Passed	Remaining
182	438	1957
183	439	1948
184	444	1959
185	445	1950
186	446	1943
187	447	1934
188	448	1925
189	449	1915
190	450	1906
191	451	1899
192	452	1890
193	453	1882
194	462	1907
195	463	1901
196	464	1893
197	465	1885
198	466	1876
199	467	1869
200	468	1860
201	468	1852
202	469	1843
203	470	1835
204	477	1850
205	478	1844
206	480	1839
207	481	1834
208	482	1827
209	483	1819
210	484	1812
211	485	1805
212	488	1805
213	489	1798
214	490	1792
215	491	1784
216	492	1777
217	493	1770
218	495	1765
219	496	1759
220	497	1751
221	503	1765
222	504	1758
223	505	1751
224	506	1745
225	507	1737
226	508	1730
227	508	1723
228	509	1715
229	510	1708
230	511	1701
231	512	1696
232	518	1707
233	519	1701
234	520	1694
235	521	1686
236	521	1679
237	522	1672
238	522	1664
239	523	1657
240	524	1650
241	524	1643
242	525	1636
243	526	1630
244	526	1623
245	527	1616
246	533	1626
247	534	1621
248	536	1618
249	537	1612
250	538	1606
251	539	1600
252	539	1593
253	540	1587
254	541	1581
255	542	1575
256	542	1569
257	548	1576
258	548	1570
259	549	1564
260	550	1557
261	550	1551
262	551	1545
263	552	1540
264	553	1533
265	553	1527
266	554	1522
267	555	1515
268	555	1509
269	556	1503
270	556	1497
271	557	1491
272	557	1485
273	563	1492
274	564	1488
275	565	1483
276	566	1478
277	567	1473
278	568	1468
279	569	1464
280	570	1459
281	571	1455
282	572	1449
283	572	1444
284	573	1438
285	575	1436
286	576	1432
287	577	1427
288	578	1422
289	578	1417
290	580	1413
291	581	1408
292	581	1404
293	582	1398
294	583	1393
295	584	1389
296	584	1384
297	585	1379
298	586	1374
299	586	1369
300	587	1364
301	589	1361
302	590	1359
303	591	1354
304	592	1350
305	593	1345
306	593	1340
307	594	1335
308	594	1330
309	595	1325
310	596	1322
311	597	1317
312	597	1312
313	598	1307
314	599	1303
315	599	1298
316	600	1293
317	600	1288
318	601	1284
319	602	1279
320	603	1275
321	604	1273
322	605	1269
323	606	1264
324	606	1260
325	607	1255
326	608	1251
327	608	1247
328	609	1242
329	609	1238
330	610	1234
331	611	1229
332	611	1225
333	612	1221
334	613	1217
335	613	1213
336	614	1209
337	615	1205
338	616	1201
339	616	1197
340	617	1193
341	618	1190
342	619	1186
343	620	1182
344	620	1178
345	621	1175
346	622	1171
347	623	1167
348	624	1164
349	624	1160
350	625	1156
351	626	1152
352	626	1148
353	627	1144
354	628	1141
355	628	1137
356	629	1133
357	630	1130
358	631	1126
359	631	1123
360	632	1119
361	633	1116
362	634	1114
363	635	1110
364	636	1107
365	637	1104
366	638	1100
367	638	1096
368	639	1093
369	640	1090
370	641	1087
371	641	1083
372	642	1080
373	643	1077
374	644	1073
375	644	1069
376	645	1066
377	645	1062
378	646	1059
379	647	1056
380	649	1055
381	650	1052
382	651	1049
383	652	1046
384	652	1042
385	653	1040
386	654	1036
387	655	1033
388	655	1030
389	656	1026
390	657	1023
391	657	1020
392	658	1017
393	659	1013
394	660	1010
395	660	1007
396	661	1004
397	662	1001
398	663	999
399	664	996
400	665	993
401	665	990
402	667	988
403	667	985
404	668	982
405	669	979
406	669	976
407	670	972
408	671	969
409	671	966
410	672	963
411	673	960
412	673	957
413	674	954
414	675	951
415	675	948
416	676	945
417	677	942
418	678	940
419	679	938
420	680	935
421	681	933
422	682	930
423	682	927
424	683	924
425	684	921
426	684	918
427	685	916
428	686	913
429	686	910
430	687	908
431	688	905
432	689	902
433	689	899
434	690	896
435	690	893
436	691	890
437	692	888
438	693	886
439	695	884
440	696	882
441	696	879
442	697	877
443	698	874
444	698	871
445	699	868
446	700	866
447	701	863
448	701	861
449	702	858
450	703	856
451	703	853
452	704	851
453	705	848
454	706	846
455	707	843
456	709	842
457	710	840
458	710	837
459	712	836
460	713	834
461	714	831
462	715	829
463	715	826
464	717	825
